px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
-108.133     -12.6059     -313.096     354.274     125.017     -20.9113     10.9844     -230.515     231.771     4.8     -87.222     -23.5903     -82.581     122.502     4.8
96.3501     -71.0403     -20.5723     174.294     125.001     35.5669     -21.4823     52.4107     67.0553     4.8     60.7832     -49.558     -72.983     107.239     4.8
103.69     48.0767     -132.886     215.285     125.004     109.855     0.0241406     -53.7998     122.416     4.8     -6.16513     48.0526     -79.0859     92.8692     4.8
-30.04     108.738     803.717     821.166     125.001     6.78849     -15.5356     19.4472     26.2426     4.8     -36.8285     124.274     784.27     794.923     4.8
14.6145     -106.39     206.289     264.04     125.018     66.8156     -57.5441     81.6432     120.268     4.8     -52.2012     -48.8463     124.645     143.772     4.8
-94.6991     61.4339     -267.885     316.436     125.011     -85.7332     56.869     -85.905     134.115     4.8     -8.96585     4.56498     -181.98     182.321     4.8
-12.5189     115.746     1393.6     1404.03     125.001     -41.8744     46.0597     1064.12     1065.95     4.8     29.3555     69.6863     329.481     338.08     4.8
66.1464     86.0456     -211.899     268.896     125     -11.731     60.3799     -28.5332     67.9745     4.8     77.8774     25.6658     -183.365     200.922     4.8
-11.7907     -103.938     52.8307     171.344     125.002     -11.2837     -132.976     44.3335     140.707     4.8     -0.507078     29.0373     8.49716     30.6376     4.8
-91.3742     -74.3474     368.101     406.204     125.006     -52.7109     -90.7091     144.433     178.579     4.8     -38.6633     16.3617     223.668     227.625     4.8
39.4348     93.4621     -321.724     359.756     125.013     7.43085     114.706     -280.648     303.313     4.8     32.0039     -21.2438     -41.0759     56.4431     4.8
66.8047     73.4679     -225.757     276.499     125     -21.954     59.7862     -58.5803     86.6664     4.8     88.7588     13.6816     -167.177     189.833     4.8
-62.5386     85.9726     -195.148     254.968     124.994     -0.658672     100.266     -121.237     157.401     4.8     -61.8799     -14.2931     -73.9114     97.5672     4.8
-63.315     -91.8978     1678.74     1687.08     125.002     28.8808     -64.2737     780.016     783.207     4.8     -92.1958     -27.6241     898.725     903.877     4.8
42.9999     99.6799     48.0772     172.399     125     55.0456     124.115     49.7621     144.685     4.8     -12.0456     -24.4351     -1.68486     27.7137     4.8
60.1193     80.2549     -224.883     276.143     125.008     42.5042     -16.8158     -23.0067     51.3977     4.8     17.6151     97.0706     -201.877     224.745     4.8
-38.3461     103.473     155.021     227.669     125     -37.1847     130.081     146.09     199.171     4.8     -1.16142     -26.6084     8.93081     28.4983     4.8
117.578     -2.73741     565.915     591.369     124.999     92.9646     41.2869     487.407     497.932     4.8     24.613     -44.0243     78.5081     93.4372     4.8
28.6224     -96.1676     172.62     235.565     125.003     25.9744     -27.9609     -10.6714     39.9174     4.8     2.648     -68.2067     183.291     195.648     4.8
-70.5485     75.5024     10.0637     162.495     125.002     8.38603     -26.1435     -14.4533     31.3966     4.8     -78.9346     101.646     24.517     131.098     4.8
-55.8989     -94.9114     -55.1577     175.493     124.99     4.12478     -45.5653     -81.2632     93.3807     4.8     -60.0237     -49.346     26.1054     82.1122     4.8
56.3183     82.2131     97.0259     187.016     125.02     70.9596     50.944     117.574     146.551     4.8     -14.6413     31.2691     -20.548     40.4646     4.8
-89.7445     -57.8981     -532.918     557.703     124.997     -66.3001     -93.1317     -303.249     324.117     4.8     -23.4444     35.2336     -229.67     233.586     4.8
39.0566     106.223     81.5685     187.314     124.998     46.1224     -13.6742     20.8884     52.6652     4.8     -7.06575     119.897     60.6801     134.649     4.8
-103.588     17.6519     753.382     770.878     125.011     -75.4693     -21.1229     191.959     207.396     4.8     -28.1191     38.7749     561.423     563.483     4.8
-97.6734     35.9441     -893.004     907.698     125.008     7.74384     53.5162     -246.957     252.854     4.8     -105.417     -17.5721     -646.047     654.844     4.8
107.092     -2.1914     -69.4815     178.678     124.998     33.5048     59.4945     -30.4023     74.8966     4.8     73.5875     -61.6859     -39.0792     103.781     4.8
-69.4081     92.2514     -668.636     689.949     125.006     -26.4288     105.455     -311.505     329.966     4.8     -42.9793     -13.2031     -357.132     359.983     4.8
107.487     19.19     -14.5143     166.618     125.016     39.2914     69.0165     5.27938     79.7371     4.8     68.1961     -49.8265     -19.7937     86.8805     4.8
52.7201     104.761     264.367     315.071     125.002     -5.13446     -4.12633     138.735     138.975     4.8     57.8545     108.887     125.632     176.096     4.8
74.4385     85.3121     -443.816     474.78     124.998     102.624     32.7036     -260.366     281.807     4.8     -28.1857     52.6085     -183.45     192.974     4.8
3.81197     -108.367     406.499     438.891     125.004     50.5284     -99.4422     224.647     250.86     4.8     -46.7165     -8.92448     181.852     188.03     4.8
-20.3383     100.935     75.1934     178.552     125.001     25.8668     18.2664     -24.9778     40.6163     4.8     -46.2052     82.6684     100.171     137.936     4.8
-19.5872     -100.585     -228.681     280.039     125.003     12.5649     -26.7     7.18066     30.7468     4.8     -32.1521     -73.8854     -235.862     249.292     4.8
-114.357     -26.337     -1352.03     1362.85     124.993     6.28055     31.9534     -162.833     166.127     4.8     -120.638     -58.2903     -1189.19     1196.73     4.8
-33.7073     -98.7802     171.844     236.747     125     -34.5139     -119.064     176.147     215.449     4.8     0.806577     20.2838     -4.3022     21.2986     4.8
-113.359     -8.13152     -48.3525     175.714     124.984     -54.5699     43.9204     18.3529     72.5723     4.8     -58.7892     -52.0519     -66.7055     103.142     4.8
55.3741     96.1756     113.046     201.792     124.999     -0.957099     86.4212     115.54     144.368     4.8     56.3312     9.7544     -2.494     57.4249     4.8
-92.5234     41.9708     76.7228     178.423     125.004     -11.2765     50.3822     81.3501     96.4697     4.8     -81.247     -8.41135     -4.6274     81.9529     4.8
-51.7136     89.6342     200.334     257.812     124.999     13.1976     4.99824     127.959     128.824     4.8     -64.9112     84.636     72.3751     128.988     4.8
-69.3344     94.1358     137.773     219.714     124.997     -88.5335     40.154     37.8537     104.434     4.8     19.1991     53.9819     99.9191     115.28     4.8
-66.9988     83.5229     121.035     204.309     125.01     4.07515     41.8388     -15.2543     44.9758     4.8     -71.074     41.6841     136.29     159.333     4.8
105.574     42.6054     2.27443     169.088     124.998     87.4673     10.593     -52.6961     102.775     4.8     18.1067     32.0124     54.9705     66.3132     4.8
28.3347     -106.85     642.828     664.134     125.004     37.6197     10.3356     79.9349     89.0769     4.8     -9.28508     -117.185     562.893     575.057     4.8
23.9123     114.564     -143.698     223.539     124.996     -1.1046     -17.2816     -65.9874     68.3905     4.8     25.0169     131.846     -77.7108     155.149     4.8
-82.355     70.2688     -317.724     358.18     124.998     -41.6187     -31.4005     -71.194     88.3727     4.8     -40.7363     101.669     -246.53     269.808     4.8
53.0482     95.4551     189.259     251.733     124.999     74.3264     51.7731     180.664     202.157     4.8     -21.2782     43.682     8.59517     49.5761     4.8
-111.262     21.836     778.726     796.804     125.001     12.4919     5.51551     348.719     349.02     4.8     -123.754     16.3205     430.007     447.784     4.8
-18.9681     -109.686     -100.43     195.194     124.996     48.0765     -77.1438     -68.7633     114.079     4.8     -67.0445     -32.5422     -31.6666     81.1158     4.8
39.7206     -107.878     253.383     305.031     125.002     27.0043     -42.2456     227.779     233.282     4.8     12.7163     -65.6327     25.6039     71.7493     4.8
-91.8157     55.7803     113.767     200.274     125.001     24.9839     36.6499     44.7051     63.1584     4.8     -116.8     19.1305     69.062     137.116     4.8
-105.833     -35.0501     341.874     380.666     124.899     14.132     -7.78943     160.935     161.813     4.8     -119.965     -27.2607     180.94     218.854     4.8
100.054     -47.9811     -561.684     586.027     125.003     81.7718     -12.8666     -526.058     532.553     4.8     18.2826     -35.1144     -35.6264     53.4749     4.8
86.746     -82.3309     -184.444     252.88     125.003     107.978     -51.7014     -85.9272     147.441     4.8     -21.2316     -30.6295     -98.5166     105.44     4.8
-0.269445     104.766     365.582     400.314     125     -47.6641     102.725     226.349     253.143     4.8     47.3947     2.04063     139.233     147.171     4.8
-100.81     -45.21     -1075.86     1088.72     125.001     0.148601     36.4514     -220.366     223.412     4.8     -100.958     -81.6614     -855.497     865.308     4.8
69.3378     98.3657     -59.2918     183.369     125.001     97.2089     103.884     -60.1548     154.541     4.8     -27.8711     -5.51809     0.862972     28.8277     4.8
64.1734     100.665     -1628.64     1637.78     125     39.0901     90.8762     -553.03     561.828     4.8     25.0833     9.78891     -1075.61     1075.95     4.8
16.7945     -109.488     991.695     1005.66     125     -13.5088     -110.827     471.578     484.638     4.8     30.3033     1.3386     520.118     521.024     4.8
-107.291     -43.5706     1325.76     1336.66     125.004     -93.9298     24.8825     894.629     899.903     4.8     -13.3608     -68.4531     431.129     436.76     4.8
42.3502     97.7126     218.121     273.03     125.009     84.4883     74.3015     126.312     169.224     4.8     -42.1381     23.411     91.809     103.806     4.8
-68.7945     -81.0186     174.819     239.757     125.001     -98.542     -38.5321     84.4932     135.489     4.8     29.7474     -42.4864     90.3257     104.268     4.8
-50.5828     87.3865     23.3723     162.38     125.004     -84.9855     86.8668     33.5816     126.171     4.8     34.4026     0.519746     -10.2092     36.2088     4.8
81.4731     79.6008     439.595     471.002     124.999     61.9219     28.3452     71.682     98.9905     4.8     19.5512     51.2556     367.913     372.011     4.8
-98.2237     54.995     475.851     504.709     125     -102.536     66.3737     248.055     276.538     4.8     4.31211     -11.3787     227.796     228.171     4.8
0.973294     111.012     -16.908     168.033     124.998     -9.67295     79.2539     -69.1881     105.758     4.8     10.6462     31.7585     52.2801     62.2752     4.8
-7.35     -107.94     74.1624     181.187     124.994     54.085     -27.6887     11.0704     61.9471     4.8     -61.435     -80.2511     63.092     119.24     4.8
-45.6534     101.18     -494.647     522.134     125.004     0.845358     103.659     -429.832     442.182     4.8     -46.4987     -2.47898     -64.8151     79.952     4.8
-15.9309     109.149     -679.066     699.23     125     -61.1321     72.0966     -272.775     288.729     4.8     45.2012     37.0522     -406.291     410.501     4.8
-62.2299     85.3584     -374.265     408.477     124.981     -64.8276     115.69     -297.382     325.647     4.8     2.59773     -30.3314     -76.8828     82.8296     4.8
118.465     17.9805     -229.956     287.857     125     76.6856     41.9008     -222.257     238.867     4.8     41.7796     -23.9203     -7.69866     48.99     4.8
-112.662     32.8372     -807.379     825.38     124.978     -121.701     55.2652     -519.282     536.23     4.8     9.03922     -22.428     -288.097     289.15     4.8
-98.6876     32.0408     514.161     539.214     124.998     -0.679937     46.4595     294.752     298.431     4.8     -98.0077     -14.4188     219.409     240.784     4.8
-81.7659     85.6766     170.07     242.025     125.006     -33.226     87.8272     38.344     101.543     4.8     -48.5398     -2.15058     131.726     140.483     4.8
-90.2295     -69.5663     -732.13     751.412     124.999     -100.028     -38.0243     -686.892     695.194     4.8     9.79847     -31.542     -45.2377     56.2174     4.8
28.9661     97.7138     22.1831     162.793     124.99     34.375     -18.4115     -12.7592     41.3094     4.8     -5.40891     116.125     34.9423     121.484     4.8
8.49206     107.92     -157.684     228.491     125.002     20.2129     -18.0955     -67.8097     73.193     4.8     -11.7209     126.015     -89.8738     155.298     4.8
16.6814     106.218     628.326     649.599     124.998     5.6155     -16.2648     13.0214     22.106     4.8     11.0659     122.482     615.305     627.493     4.8
31.303     104.651     -1429.77     1439.38     125.007     31.0236     -11.4847     -123.503     127.947     4.8     0.279421     116.135     -1306.27     1311.43     4.8
-76.3241     69.2515     771.433     788.262     125.008     -100.521     51.5711     717.668     726.522     4.8     24.197     17.6805     53.7652     61.74     4.8
85.8947     -76.6069     -165.133     236.941     125.002     62.552     -84.6026     -45.5641     114.758     4.8     23.3427     7.99577     -119.569     122.182     4.8
-41.5947     -105.222     -110.475     201.573     125     -28.3833     -133.009     -99.3932     168.52     4.8     -13.2114     27.7868     -11.0823     33.053     4.8
92.2101     -74.8574     -159.175     234.666     124.999     64.6362     -57.2802     -16.3036     88.021     4.8     27.574     -17.5772     -142.872     146.645     4.8
16.1632     111.154     798.308     815.804     124.999     62.5615     103.126     570.664     583.292     4.8     -46.3983     8.02777     227.643     232.512     4.8
-84.8425     60.4233     458.609     486.619     125.006     -113.036     67.3906     345.591     369.831     4.8     28.1931     -6.96729     113.018     116.788     4.8
-105.542     -34.5609     32.4841     170.333     124.998     -84.5354     -78.181     7.1179     115.465     4.8     -21.0063     43.6201     25.3662     54.8677     4.8
-65.9975     -86.2288     -45.9848     171.846     125.001     -75.4299     -2.6751     -44.2147     87.6059     4.8     9.43238     -83.5537     -1.77006     84.2399     4.8
-100.486     -52.9489     7.54999     169.076     125.015     5.27675     19.4422     32.3837     38.4394     4.8     -105.763     -72.3911     -24.8337     130.637     4.8
3.08953     113.084     265.295     314.332     125.001     -25.1384     14.7407     -0.442425     29.5374     4.8     28.2279     98.3437     265.738     284.794     4.8
-82.813     -66.2344     1054.33     1066.99     125.005     -10.4673     -87.5195     585.21     591.83     4.8     -72.3458     21.2852     469.116     475.163     4.8
-34.3359     94.399     -13.4933     160.922     124.995     46.943     28.6434     1.35362     55.2174     4.8     -81.279     65.7556     -14.8469     105.705     4.8
-104.199     45.5281     41.7361     174.061     125     -63.1896     -23.6408     61.1689     91.1948     4.8     -41.0095     69.1689     -19.4329     82.8662     4.8
109.615     4.7627     -23.4934     167.977     125.005     20.6823     -54.2339     1.50444     58.2612     4.8     88.9325     58.9966     -24.9979     109.716     4.8
107.391     49.7387     298.415     344.504     125     95.5301     0.71399     269.935     286.381     4.8     11.8614     49.0247     28.48     58.1228     4.8
-68.3318     78.7156     -275.099     319.64     125     -36.9559     50.0736     -27.2115     68.0926     4.8     -31.3759     28.642     -247.888     251.548     4.8
-68.5976     84.0438     1525.77     1534.72     125.019     17.4923     -0.662877     691.868     692.106     4.8     -86.0899     84.7067     833.901     842.615     4.8
-5.68963     -109.664     418.217     450.107     125.027     -41.4994     -27.0407     48.2739     69.3311     4.8     35.8097     -82.623     369.943     380.775     4.8
45.167     96.491     -111.871     198.722     124.998     -17.0578     74.8093     -107.962     132.538     4.8     62.2248     21.6816     -3.9095     66.1842     4.8
-50.508     -107.06     -122.5     211.289     124.995     38.5851     -16.1075     -15.303     44.7827     4.8     -89.0932     -90.9528     -107.198     166.506     4.8
52.8384     -89.8424     168.31     234.129     124.999     58.5021     11.2247     46.7955     75.9035     4.8     -5.66368     -101.067     121.514     158.226     4.8
